Category: All categories
TOP
Ethiopia,100
Music,91
Film,89
Amharic,62
Video,32
Song,27
Music of Ethiopia,23
News,19
English language,16
Television,15
How-to,15
Oromo language,12
Episode,10
Kana TV,10
Eritrea,9
YouTube,9
TikTok,8
Mezmur,8
Ethiopian Orthodox Tewahedo Church,8
Download,8
Tigrinya language,7
Child,7
Season,6
Protestantism,6
Comedy,6

RISING
Coronavirus,Breakout
TikTok,"+2,050%"
Dawit Tsige,"+1,200%"
Virus,+750%
The Pit,+750%
Endless Love,+600%
Dubbing,+450%
Blue Nile River,+350%
Endegna,+250%
Miraculous: Tales of Ladybug & Cat Noir,+250%
Sodere,+200%
Narrative,+160%
Craft,+160%
Spider-Man,+150%
Emu,+150%
Fire,+130%
Baby Shark,+120%
Media,+120%
1990s,+110%
Cover version,+110%
Grand Theft Auto V,+90%
DJ mix,+90%
School,+80%
Mr. Bean,+80%
Cartoon,+80%

